sp_id,sp_name,genus
Danooz-oepu,Danooziua oepuoe,Danooziua
Danooz-ioaw,Danooziua ioaw,Danooziua
Danooz-aoao,Danooziua aoao,Danooziua
Danooz-toia,Danooziua toiapo,Danooziua
Okusud,Okusudeo,Okusudeo
Poyaoe-uwia,Poyaoea uwia,Poyaoea
Poyaoe-aawe,Poyaoea aaweaa,Poyaoea
Ijaeu-oies,Ijaeu oieso,Ijaeu
Ooreua-auou,Ooreuaom auoua,Ooreuaom
Ijuci-geia,Ijuci geia,Ijuci
Ijuci-oru,Ijuci oru,Ijuci
Tefoum-ueio,Tefouma ueioud,Tefouma
Oaefip-iwoe,Oaefipioio iwoe,Oaefipioio
Oajaeh-ufie,Oajaeh ufieu,Oajaeh
Oajaeh-imai,Oajaeh imaiii,Oajaeh
Oajaeh-iepe,Oajaeh iepei,Oajaeh
Oajaeh-aabi,Oajaeh aabia,Oajaeh
Oajaeh-aeiz,Oajaeh aeiz,Oajaeh
Unukig-ooil,Unukig ooiloo,Unukig
Toxauk,Toxauka,Toxauka
Toxauk-atio,Toxauka atioa,Toxauka
Toxauk-ouco,Toxauka oucoo,Toxauka
Uqumoi-oai,Uqumoiouh oai,Uqumoiouh
Hoseou-uapu,Hoseouen uapuu,Hoseouen
Isakom-iale,Isakomoi iale,Isakomoi
Isakom-iuut,Isakomoi iuuti,Isakomoi
Nenouw-ulu,Nenouwid ulu,Nenouwid
Aeamog-iiaz,Aeamogoi iiaz,Aeamogoi
Yuueuq,Yuueuqai,Yuueuqai
Yuueuq-omai,Yuueuqai omaiop,Yuueuqai
Yuueuq-adi,Yuueuqai adi,Yuueuqai
Oluna-oeae,Oluna oeae,Oluna
Jihou-oem,Jihou oem,Jihou
Onazow-iioo,Onazowaawo iiooi,Onazowaawo
Ledooh-eau,Ledooho eau,Ledooho
Iuaeoq,Iuaeoqoo,Iuaeoqoo
Iuaeoq-aeui,Iuaeoqoo aeui,Iuaeoqoo
Iuaeoq-oso,Iuaeoqoo oso,Iuaeoqoo
Mujuuj-ebu,Mujuujun ebu,Mujuujun
Epiiub-icou,Epiiub icouif,Epiiub
Nuheoa-oola,Nuheoauki oola,Nuheoauki
Uheool-ulu,Uheoola ulu,Uheoola
Uheool-onu,Uheoola onu,Uheoola
Bemeox,Bemeoxetep,Bemeoxetep
Bemeox-ueo,Bemeoxetep ueo,Bemeoxetep
Ibasi-igue,Ibasi igue,Ibasi
Togeoi-naee,Togeoio naeet,Togeoio
Togeoi-ure,Togeoio ure,Togeoio
Osake,Osake,Osake
Vaviec,Vaviecizo,Vaviecizo
Uraoii-iuoi,Uraoiiu iuoiiu,Uraoiiu
Uraoii-oai,Uraoiiu oai,Uraoiiu
Uraoii-suoo,Uraoiiu suooq,Uraoiiu
Uraoii-ibi,Uraoiiu ibi,Uraoiiu
Uraoii-ifo,Uraoiiu ifo,Uraoiiu
Uraoii-uoko,Uraoiiu uoko,Uraoiiu
Aogeum,Aogeum,Aogeum
Eeori,Eeori,Eeori
Eeori-houo,Eeori houomo,Eeori
Paquo-ouee,Paquo ouee,Paquo
Ipevee-ogau,Ipevee ogau,Ipevee
Tuboez-ueu,Tuboezu ueu,Tuboezu
Ixoqev-uyoa,Ixoqevea uyoauv,Ixoqevea
Tubei-aeu,Tubei aeu,Tubei
Emusul-oiie,Emusuleik oiie,Emusuleik
Meyuoz-ovee,Meyuoz oveeoa,Meyuoz
Ujequp-rui,Ujequp rui,Ujequp
Yimia-epuu,Yimia epuu,Yimia
Yimia-ayeo,Yimia ayeoax,Yimia
Yimia-atiu,Yimia atiu,Yimia
Ukotak-oos,Ukotakiou oos,Ukotakiou
Ukotak-aiwo,Ukotakiou aiwoa,Ukotakiou
Ukotak-ooa,Ukotakiou ooa,Ukotakiou
Ukotak-ueoo,Ukotakiou ueoou,Ukotakiou
Zunool-eeoz,Zunooludar eeoz,Zunooludar
Akazud-uieu,Akazudea uieu,Akazudea
Qobouz-alie,Qobouzu aliea,Qobouzu
Uxizek-iyee,Uxizek iyeeio,Uxizek
Cofaen-utao,Cofaenos utaou,Cofaenos
Iaasuz-auid,Iaasuzauei auida,Iaasuzauei
Eauead-uawa,Eauead uawau,Eauead
Elofis,Elofis,Elofis
Elofis-uihi,Elofis uihiu,Elofis
Elofis-eoom,Elofis eoomeo,Elofis
Elofis-aoot,Elofis aoota,Elofis
Vadia-qeou,Vadia qeoua,Vadia
Ijueaj-ouoc,Ijueajoic ouoc,Ijueajoic
Ijueaj-eiio,Ijueajoic eiiori,Ijueajoic
Redeog,Redeogouu,Redeogouu
Iiuzig,Iiuzigeaji,Iiuzigeaji
Iiuzig-ito,Iiuzigeaji ito,Iiuzigeaji
Iiuzig-aweu,Iiuzigeaji aweu,Iiuzigeaji
Mohoo,Mohoo,Mohoo
Mohoo-udu,Mohoo udu,Mohoo
Mohoo-iea,Mohoo iea,Mohoo
Mohoo-ooai,Mohoo ooaio,Mohoo
Ipaoe-rea,Ipaoe rea,Ipaoe
Ueceil,Ueceil,Ueceil
Ueceil-ori,Ueceil ori,Ueceil
Azoea-uaac,Azoea uaac,Azoea
Qajuus-adeu,Qajuusaweo adeu,Qajuusaweo
Eioiub-iuha,Eioiub iuhai,Eioiub
Vajiik-uaos,Vajiikou uaos,Vajiikou
Vajiik-euof,Vajiikou euofe,Vajiikou
Umosi-ueoi,Umosi ueoiue,Umosi
Aoeeum-zoei,Aoeeume zoeip,Aoeeume
Aoeeum-aaeo,Aoeeume aaeoa,Aoeeume
Ilidaq-iuai,Ilidaqo iuai,Ilidaqo
Ilidaq-aiau,Ilidaqo aiaua,Ilidaqo
Voweo-iuea,Voweo iueai,Voweo
Emequ,Emequ,Emequ
Emequ-eau,Emequ eau,Emequ
Pefiue-euit,Pefiuei euite,Pefiuei
Eeuuaz-ziio,Eeuuazeaf ziion,Eeuuazeaf
Eeuuaz-afia,Eeuuazeaf afiaa,Eeuuazeaf
Eeuuaz-oyua,Eeuuazeaf oyua,Eeuuazeaf
Eeuuaz-uini,Eeuuazeaf uini,Eeuuazeaf
Eeuuaz-ueud,Eeuuazeaf ueud,Eeuuazeaf
Eeuuaz-ioe,Eeuuazeaf ioe,Eeuuazeaf
Eeuuaz-yeua,Eeuuazeaf yeuame,Eeuuazeaf
Eeuuaz-ixua,Eeuuazeaf ixuaiw,Eeuuazeaf
Eeuuaz-oyio,Eeuuazeaf oyio,Eeuuazeaf
Wokau,Wokau,Wokau
Umaoi-auid,Umaoi auida,Umaoi
Gahiid-ioaw,Gahiid ioawi,Gahiid
Ozubet-ayue,Ozubetoofo ayueaa,Ozubetoofo
Ozubet-eaub,Ozubetoofo eaub,Ozubetoofo
Woeui-eeoz,Woeui eeoz,Woeui
Woeui-eoum,Woeui eoume,Woeui
Ueagic-oeej,Ueagicoe oeej,Ueagicoe
Juceu-dooi,Juceu dooico,Juceu
Ifuees-uwua,Ifueesua uwuaui,Ifueesua
Muouux-mia,Muouuxa mia,Muouuxa
Muouux-aqi,Muouuxa aqi,Muouuxa
Muouux-iud,Muouuxa iud,Muouuxa
Eyukaf,Eyukafie,Eyukafie
Eyukaf-ulu,Eyukafie ulu,Eyukafie
Wigooc-nuoe,Wigoocejix nuoev,Wigoocejix
Wigooc-eiau,Wigoocejix eiauu,Wigoocejix
Ayuqey-oeiz,Ayuqeyui oeizo,Ayuqeyui
Vuraup,Vuraupage,Vuraupage
Vuraup-iuo,Vuraupage iuo,Vuraupage
Vuraup-ilue,Vuraupage iluei,Vuraupage
Vuraup-aje,Vuraupage aje,Vuraupage
Uwufih-iju,Uwufihuu iju,Uwufihuu
Neioup-aeeu,Neioupex aeeu,Neioupex
Ovazey-yoao,Ovazeyai yoao,Ovazeyai
Ovazey-iee,Ovazeyai iee,Ovazeyai
Ovazey-eois,Ovazeyai eois,Ovazeyai
Oaciui-eia,Oaciuie eia,Oaciuie
Odeloi-houo,Odeloie houomo,Odeloie
Kolaoc,Kolaocotog,Kolaocotog
Aaifad-aoo,Aaifaduu aoo,Aaifaduu
Aaifad-onea,Aaifaduu onea,Aaifaduu
Yayoeh-iib,Yayoeha iib,Yayoeha
Ouabe-iib,Ouabe iib,Ouabe
Lamoe-olu,Lamoe olu,Lamoe
Eeaqic-usia,Eeaqicuev usiau,Eeaqicuev
Raseab,Raseab,Raseab
Eaoqel-oos,Eaoqelei oos,Eaoqelei
Madeeq,Madeeqaeai,Madeeqaeai
Madeeq-ouui,Madeeqaeai ouuiou,Madeeqaeai
Madeeq-ifee,Madeeqaeai ifee,Madeeqaeai
Madeeq-seui,Madeeqaeai seui,Madeeqaeai
Madeeq-auoe,Madeeqaeai auoeao,Madeeqaeai
Madeeq-evae,Madeeqaeai evaeev,Madeeqaeai
Madeeq-idoi,Madeeqaeai idoii,Madeeqaeai
Madeeq-uuqu,Madeeqaeai uuqu,Madeeqaeai
Aiudi-uia,Aiudi uia,Aiudi
Aiudi-eiet,Aiudi eiete,Aiudi
Yedaoi-eiii,Yedaoiovu eiiiei,Yedaoiovu
Yedaoi-nuiu,Yedaoiovu nuiu,Yedaoiovu
Yedaoi-oqae,Yedaoiovu oqaeo,Yedaoiovu
Yedaoi-uvei,Yedaoiovu uveiuy,Yedaoiovu
Idefal,Idefaliu,Idefaliu
Idefal-ieuq,Idefaliu ieuq,Idefaliu
Idefal-iuo,Idefaliu iuo,Idefaliu
Dicial-ito,Dicial ito,Dicial
Elaja,Elaja,Elaja
Elaja-ueo,Elaja ueo,Elaja
Elaja-aeqa,Elaja aeqaae,Elaja
Elaja-nuea,Elaja nueax,Elaja
Elaja-asai,Elaja asaia,Elaja
Dupiia,Dupiiauce,Dupiiauce
Dupiia-uuu,Dupiiauce uuu,Dupiiauce
Dupiia-ouo,Dupiiauce ouo,Dupiiauce
Dupiia-ecu,Dupiiauce ecu,Dupiiauce
Omequw-ooio,Omequwoezo ooio,Omequwoezo
Todiic-zaa,Todiici zaa,Todiici
Esiwoe-ujea,Esiwoeaak ujeau,Esiwoeaak
Fupoat-otiu,Fupoatapur otiu,Fupoatapur
Eeagud-iuw,Eeagud iuw,Eeagud
Buriem-aee,Buriem aee,Buriem
Buriem-iaor,Buriem iaoria,Buriem
Uturoo-uaoi,Uturooouv uaoiua,Uturooouv
Hikien-itue,Hikieni itue,Hikieni
Uxoge,Uxoge,Uxoge
Uxoge-edu,Uxoge edu,Uxoge
Tifooi,Tifooi,Tifooi
Ugokub-ito,Ugokubae ito,Ugokubae
Ugokub-euu,Ugokubae euu,Ugokubae
Ugokub-euia,Ugokubae euiaeu,Ugokubae
Ugokub-ueo,Ugokubae ueo,Ugokubae
Ugokub-yiou,Ugokubae yiout,Ugokubae
Ugokub-oteu,Ugokubae oteu,Ugokubae
Ugokub-uiid,Ugokubae uiidu,Ugokubae
Ugokub-ooel,Ugokubae ooeloo,Ugokubae
Ugokub-aoai,Ugokubae aoaiao,Ugokubae
Ugokub-nai,Ugokubae nai,Ugokubae
Qokeuz-ioo,Qokeuzague ioo,Qokeuzague
Irieiv-aiee,Irieiveiy aieea,Irieiveiy
Irieiv-iiy,Irieiveiy iiy,Irieiveiy
Zokuag-auu,Zokuaga auu,Zokuaga
Zokuag-uzai,Zokuaga uzaiu,Zokuaga
Usisa-ito,Usisa ito,Usisa
Usisa-ioeo,Usisa ioeoio,Usisa
Sigeui-xioa,Sigeui xioa,Sigeui
Aoolux-iri,Aoolux iri,Aoolux
Aoolux-euof,Aoolux euofe,Aoolux
Aoolux-oraa,Aoolux oraao,Aoolux
Leooaj,Leooajuqu,Leooajuqu
Leooaj-aeeh,Leooajuqu aeehae,Leooajuqu
Leooaj-uioy,Leooajuqu uioyu,Leooajuqu
Leooaj-wie,Leooajuqu wie,Leooajuqu
Leooaj-jee,Leooajuqu jee,Leooajuqu
Leooaj-ukuo,Leooajuqu ukuou,Leooajuqu
Leooaj-iqa,Leooajuqu iqa,Leooajuqu
Leooaj-euo,Leooajuqu euo,Leooajuqu
Leooaj-uaui,Leooajuqu uaui,Leooajuqu
Leooaj-igue,Leooajuqu igue,Leooajuqu
Leooaj-uepe,Leooajuqu uepe,Leooajuqu
Leooaj-uiiz,Leooajuqu uiiz,Leooajuqu
Leooaj-ooux,Leooajuqu oouxoo,Leooajuqu
Leooaj-ioe,Leooajuqu ioe,Leooajuqu
Leooaj-xaae,Leooajuqu xaaeza,Leooajuqu
Leooaj-ioa,Leooajuqu ioa,Leooajuqu
Leooaj-euox,Leooajuqu euox,Leooajuqu
Leooaj-exei,Leooajuqu exei,Leooajuqu
Leooaj-oifi,Leooajuqu oifioi,Leooajuqu
Unoxoq-uauf,Unoxoqaa uaufu,Unoxoqaa
Aaleus-oieo,Aaleus oieooi,Aaleus
Aaleus-iib,Aaleus iib,Aaleus
Imobed-usia,Imobedueo usiau,Imobedueo
Coluax-nou,Coluaxefo nou,Coluaxefo
Coluax-ouoo,Coluaxefo ouoooc,Coluaxefo
Coluax-awau,Coluaxefo awauac,Coluaxefo
Owisod-aoot,Owisodu aoota,Owisodu
Hegaub-eoaa,Hegaubemek eoaa,Hegaubemek
Hegaub-iuac,Hegaubemek iuac,Hegaubemek
Aliwob-oaij,Aliwobe oaij,Aliwobe
Selauy,Selauyu,Selauyu
Iqukab,Iqukabuiu,Iqukabuiu
Iqukab-ori,Iqukabuiu ori,Iqukabuiu
Uoxaep,Uoxaepe,Uoxaepe
Agifao-rae,Agifaoua rae,Agifaoua
Yiroau,Yiroau,Yiroau
Yiroau-iaog,Yiroau iaog,Yiroau
Yiroau-foia,Yiroau foiaqo,Yiroau
Opaiov,Opaiovii,Opaiovii
Xekaog-ueuu,Xekaogoho ueuuue,Xekaogoho
Xekaog-aga,Xekaogoho aga,Xekaogoho
Ikueaj-uneo,Ikueajae uneou,Ikueajae
Ikueaj-eee,Ikueajae eee,Ikueajae
Tatue-ieiu,Tatue ieiu,Tatue
Aoizip-iia,Aoizipeoda iia,Aoizipeoda
Divoo-uaot,Divoo uaotua,Divoo
Otiped,Otipedioto,Otipedioto
Otiped-mia,Otipedioto mia,Otipedioto
Huvaa-gooi,Huvaa gooivo,Huvaa
Awegeq,Awegeq,Awegeq
Aakaak-izi,Aakaak izi,Aakaak
Aeiyuk-eime,Aeiyuk eimeei,Aeiyuk
Cuhio-ueae,Cuhio ueaeue,Cuhio
Ayivao-iuef,Ayivaoead iuef,Ayivaoead
Guqaom,Guqaom,Guqaom
Guqaom-iwo,Guqaom iwo,Guqaom
Guqaom-uoau,Guqaom uoau,Guqaom
Guqaom-inao,Guqaom inaoi,Guqaom
Ecizuj-ioou,Ecizujiawe ioou,Ecizujiawe
Nacuiv-yoao,Nacuivii yoao,Nacuivii
Ebezo-etae,Ebezo etae,Ebezo
Ebezo-eaob,Ebezo eaobe,Ebezo
Ebezo-ohei,Ebezo oheioh,Ebezo
Ebezo-eib,Ebezo eib,Ebezo
Ebezo-oouo,Ebezo oouoox,Ebezo
Ebezo-aauy,Ebezo aauyaa,Ebezo
Nosai,Nosai,Nosai
Igali-imau,Igali imau,Igali
Piqei-anei,Piqei aneial,Piqei
Ivuee-oohu,Ivuee oohuoo,Ivuee
Aetuu-oica,Aetuu oica,Aetuu
Utuvoo-eaaz,Utuvoo eaaze,Utuvoo
Dicoov-houo,Dicoov houomo,Dicoov
Atojot-uoiy,Atojotiana uoiy,Atojotiana
Atojot-oiue,Atojotiana oiue,Atojotiana
Cubau-ouoc,Cubau ouoc,Cubau
Oziwew-equu,Oziwewoud equueh,Oziwewoud
Motue-vuuo,Motue vuuovu,Motue
Iyebol,Iyeboliu,Iyeboliu
Iyebol-iauj,Iyeboliu iauji,Iyeboliu
Zojuao-ouo,Zojuao ouo,Zojuao
Iioxia-auji,Iioxiaeix auji,Iioxiaeix
Uaieei-iay,Uaieeio iay,Uaieeio
Eriuad-oeiw,Eriuado oeiwoe,Eriuado
Fiviap-oee,Fiviapeeid oee,Fiviapeeid
Opopoy-aaow,Opopoy aaowaa,Opopoy
Opopoy-arao,Opopoy araoa,Opopoy
Opopoy-fio,Opopoy fio,Opopoy
Opopoy-olu,Opopoy olu,Opopoy
Eoyouy-ukuu,Eoyouy ukuuuh,Eoyouy
Eoyouy-idoi,Eoyouy idoii,Eoyouy
Eoyouy-eof,Eoyouy eof,Eoyouy
Eoyouy-oifi,Eoyouy oifioi,Eoyouy
Eoyouy-oeiz,Eoyouy oeizo,Eoyouy
Iyinow-oaa,Iyinoweub oaa,Iyinoweub
Rudiek-iuom,Rudieke iuomi,Rudieke
Osoaub-liau,Osoaubool liau,Osoaubool
Aabuic,Aabuicao,Aabuicao
Aabuic-paoo,Aabuicao paooza,Aabuicao
Aabuic-ebua,Aabuicao ebuaed,Aabuicao
Aabuic-okii,Aabuicao okii,Aabuicao
Aabuic-iilu,Aabuicao iilu,Aabuicao
Aabuic-auai,Aabuicao auai,Aabuicao
Aabuic-aiue,Aabuicao aiuea,Aabuicao
Aabuic-ouoe,Aabuicao ouoe,Aabuicao
Aabuic-opeo,Aabuicao opeo,Aabuicao
Aabuic-urua,Aabuicao uruaul,Aabuicao
Aabuic-eune,Aabuicao euneeu,Aabuicao
Aabuic-foia,Aabuicao foiaqo,Aabuicao
Ewizuu-aeo,Ewizuua aeo,Ewizuua
Ewizuu-ooov,Ewizuua ooovoo,Ewizuua
Ewizuu-euu,Ewizuua euu,Ewizuua
Ewizuu-ima,Ewizuua ima,Ewizuua
Kibeoi-iri,Kibeoiifi iri,Kibeoiifi
Kibeoi-ueio,Kibeoiifi ueioud,Kibeoiifi
Ehobuq-emi,Ehobuqei emi,Ehobuqei
Ehobuq-oeuf,Ehobuqei oeufoe,Ehobuqei
Gowoex,Gowoexaaoo,Gowoexaaoo
Gowoex-euow,Gowoexaaoo euow,Gowoexaaoo
Gowoex-euuh,Gowoexaaoo euuhe,Gowoexaaoo
Gowoex-heee,Gowoexaaoo heee,Gowoexaaoo
Gowoex-ehea,Gowoexaaoo eheae,Gowoexaaoo
Gowoex-oie,Gowoexaaoo oie,Gowoexaaoo
Igusif-oluo,Igusifea oluo,Igusifea
Igusif-euu,Igusifea euu,Igusifea
Bevuov-ooui,Bevuovaxau oouiog,Bevuovaxau
Odiboc-eiuy,Odibocooz eiuye,Odibocooz
Odiboc-iaic,Odibocooz iaicia,Odibocooz
Tacoon-exee,Tacoonaxej exee,Tacoonaxej
Ikooad-ayue,Ikooad ayueaa,Ikooad
Kikaoa,Kikaoaou,Kikaoaou
Kikaoa-fie,Kikaoaou fie,Kikaoaou
Utowo-eto,Utowo eto,Utowo
Qapiuc-ulu,Qapiucebe ulu,Qapiucebe
Uyulip-eoi,Uyulipoeo eoi,Uyulipoeo
Aicaik-ata,Aicaikupu ata,Aicaikupu
Aicaik-iib,Aicaikupu iib,Aicaikupu
Aicaik-aoao,Aicaikupu aoao,Aicaikupu
Uoalix-ueit,Uoalixiaq ueitu,Uoalixiaq
Hawoej-eaci,Hawoejici eacie,Hawoejici
Ocoqio-uia,Ocoqioaio uia,Ocoqioaio
Gugueg-aoie,Guguegero aoiea,Guguegero
Odiook-neo,Odiook neo,Odiook
Iagoee-esue,Iagoeea esuee,Iagoeea
Unaiiu,Unaiiuaiw,Unaiiuaiw
Unaiiu-eiuy,Unaiiuaiw eiuye,Unaiiuaiw
Unaiiu-ear,Unaiiuaiw ear,Unaiiuaiw
Unaiiu-oael,Unaiiuaiw oaeloa,Unaiiuaiw
Unaiiu-yiou,Unaiiuaiw yiout,Unaiiuaiw
Unaiiu-quue,Unaiiuaiw quueuu,Unaiiuaiw
Unaiiu-ieov,Unaiiuaiw ieovie,Unaiiuaiw
Unaiiu-yae,Unaiiuaiw yae,Unaiiuaiw
Unaiiu-ati,Unaiiuaiw ati,Unaiiuaiw
Unaiiu-adae,Unaiiuaiw adae,Unaiiuaiw
Unaiiu-auv,Unaiiuaiw auv,Unaiiuaiw
Kuteof-eeu,Kuteofuzao eeu,Kuteofuzao
Kuteof-iaag,Kuteofuzao iaagia,Kuteofuzao
Kuteof-heuo,Kuteofuzao heuo,Kuteofuzao
Ecopip-ewio,Ecopipia ewioes,Ecopipia
Yoroeq-ureu,Yoroeqauig ureuu,Yoroeqauig
Icaau,Icaau,Icaau
Icaau-uei,Icaau uei,Icaau
Fueaos-ouoc,Fueaoso ouoc,Fueaoso
Fueaos-eiar,Fueaoso eiare,Fueaoso
Ofolap,Ofolapo,Ofolapo
Ofolap-ayue,Ofolapo ayueaa,Ofolapo
Ofolap-etu,Ofolapo etu,Ofolapo
Ofolap-oqai,Ofolapo oqai,Ofolapo
Ofolap-uga,Ofolapo uga,Ofolapo
Yuwua,Yuwua,Yuwua
Yuwua-uoo,Yuwua uoo,Yuwua
Ilueuo-ueag,Ilueuoii ueague,Ilueuoii
Ilueuo-xiio,Ilueuoii xiiow,Ilueuoii
Ilueuo-eeoe,Ilueuoii eeoeez,Ilueuoii
Ilueuo-oeae,Ilueuoii oeae,Ilueuoii
Bogaua-gaiu,Bogauauoo gaiu,Bogauauoo
Oxupot-ecii,Oxupota ecii,Oxupota
Saruuo,Saruuoehos,Saruuoehos
Saruuo-eaxe,Saruuoehos eaxe,Saruuoehos
Saruuo-aoot,Saruuoehos aoota,Saruuoehos
Saruuo-iio,Saruuoehos iio,Saruuoehos
Ogaboj-iio,Ogaboji iio,Ogaboji
Ogaboj-axea,Ogaboji axeaa,Ogaboji
Hekoul-aii,Hekoulifaj aii,Hekoulifaj
Eciuoa-tuiu,Eciuoauu tuiu,Eciuoauu
Eciuoa-xioa,Eciuoauu xioa,Eciuoauu
Gobiau-iqaa,Gobiaueze iqaa,Gobiaueze
Gobiau-odee,Gobiaueze odee,Gobiaueze
Gobiau-oaa,Gobiaueze oaa,Gobiaueze
Oguqir,Oguqiriuno,Oguqiriuno
Oaaued,Oaauedac,Oaauedac
Oaaued-qeeu,Oaauedac qeeug,Oaauedac
Oaaued-uoae,Oaauedac uoaeul,Oaauedac
Oaaued-ase,Oaauedac ase,Oaauedac
Oaaued-oeou,Oaauedac oeouoe,Oaauedac
Oaaued-ueif,Oaauedac ueif,Oaauedac
Oaaued-euaf,Oaauedac euafeu,Oaauedac
Oaaued-suau,Oaauedac suautu,Oaauedac
Oaaued-obu,Oaauedac obu,Oaauedac
Oaaued-rea,Oaauedac rea,Oaauedac
Oaaued-tuue,Oaauedac tuue,Oaauedac
Oaaued-ueao,Oaauedac ueaou,Oaauedac
Oaaued-eaae,Oaauedac eaae,Oaauedac
Oaaued-oaol,Oaauedac oaolo,Oaauedac
Oaaued-iaay,Oaauedac iaay,Oaauedac
Oaaued-nee,Oaauedac nee,Oaauedac
Oaaued-eua,Oaauedac eua,Oaauedac
Oaaued-akai,Oaauedac akaia,Oaauedac
Oaaued-aiwe,Oaauedac aiwe,Oaauedac
Oaaued-iaub,Oaauedac iaubi,Oaauedac
Oaaued-aeez,Oaauedac aeeza,Oaauedac
Oaaued-tueu,Oaauedac tueunu,Oaauedac
Iooiol-eju,Iooiol eju,Iooiol
Iooiol-uuuo,Iooiol uuuou,Iooiol
Riwoul-eib,Riwoul eib,Riwoul
Alacoc-aan,Alacoc aan,Alacoc
Alacoc-ouoc,Alacoc ouoc,Alacoc
Alacoc-oiah,Alacoc oiah,Alacoc
Alacoc-aeu,Alacoc aeu,Alacoc
Alacoc-uaox,Alacoc uaox,Alacoc
Alacoc-iue,Alacoc iue,Alacoc
Dicoul-zuuu,Dicouluge zuuul,Dicouluge
Iooted-euoe,Iooted euoe,Iooted
Ioyie-iteo,Ioyie iteoiy,Ioyie
Aqamap-aza,Aqamap aza,Aqamap
Oacoei-euia,Oacoei euiaeu,Oacoei
Ofouif-ujio,Ofouif ujiou,Ofouif
Befuau-eut,Befuauu eut,Befuauu
Urayiy-aua,Urayiy aua,Urayiy
Urayiy-etu,Urayiy etu,Urayiy
Joguew-aoe,Joguew aoe,Joguew
Iherae,Iheraeo,Iheraeo
Iherae-onu,Iheraeo onu,Iheraeo
Iherae-niu,Iheraeo niu,Iheraeo
Iherae-eqiu,Iheraeo eqiuei,Iheraeo
Iherae-ibou,Iheraeo ibouiw,Iheraeo
Iherae-aece,Iheraeo aece,Iheraeo
Iherae-aiid,Iheraeo aiida,Iheraeo
Iherae-oio,Iheraeo oio,Iheraeo
Iherae-paoi,Iheraeo paois,Iheraeo
Iherae-iboe,Iheraeo iboei,Iheraeo
Iherae-opea,Iheraeo opeaoi,Iheraeo
Iherae-uala,Iheraeo uala,Iheraeo
Iherae-aui,Iheraeo aui,Iheraeo
Iherae-iai,Iheraeo iai,Iheraeo
Iherae-bii,Iheraeo bii,Iheraeo
Iherae-opoi,Iheraeo opoi,Iheraeo
Iherae-atou,Iheraeo atouag,Iheraeo
Iherae-oso,Iheraeo oso,Iheraeo
Iherae-quue,Iheraeo quueuu,Iheraeo
Iherae-ieja,Iheraeo ieja,Iheraeo
Iherae-iiit,Iheraeo iiiti,Iheraeo
Iherae-euid,Iheraeo euid,Iheraeo
Iherae-oaui,Iheraeo oauioa,Iheraeo
Iherae-aeoi,Iheraeo aeoia,Iheraeo
Iherae-neee,Iheraeo neee,Iheraeo
Iherae-omoo,Iheraeo omoo,Iheraeo
Iherae-igee,Iheraeo igee,Iheraeo
Nujuoh-ulu,Nujuohiz ulu,Nujuohiz
Nujuoh-ogiu,Nujuohiz ogiuo,Nujuohiz
Egouu-mia,Egouu mia,Egouu
Sebueg-uiho,Sebueguf uihoui,Sebueguf
Sebueg-iei,Sebueguf iei,Sebueguf
Eyujij-uuov,Eyujijuege uuovuu,Eyujijuege
Uapouh-iuau,Uapouh iuauk,Uapouh
Ifovep-gaei,Ifovepoaki gaeira,Ifovepoaki
Jomooe-uke,Jomooeig uke,Jomooeig
Azuxuw-oma,Azuxuwe oma,Azuxuwe
Azuxuw-uaeo,Azuxuwe uaeoua,Azuxuwe
Qigiop-iuie,Qigiopet iuiei,Qigiopet
Qigiop-oiud,Qigiopet oiud,Qigiopet
Idoioi-qeuu,Idoioiu qeuuoe,Idoioiu
Wabuef-iwai,Wabuefoju iwai,Wabuefoju
Uceyey-ulu,Uceyeyuu ulu,Uceyeyuu
Neiuut-aaug,Neiuutez aaug,Neiuutez
Neiuut-ezeo,Neiuutez ezeoey,Neiuutez
Ifagos-oaru,Ifagos oaruo,Ifagos
Ifagos-eau,Ifagos eau,Ifagos
Lutouh-eois,Lutouholiw eoiseo,Lutouholiw
Amexus-ulu,Amexusia ulu,Amexusia
Amexus-iuie,Amexusia iuiehu,Amexusia
Gezais-uja,Gezaisokoy uja,Gezaisokoy
Gezais-eah,Gezaisokoy eah,Gezaisokoy
Gezais-eee,Gezaisokoy eee,Gezaisokoy
Oxoruy,Oxoruyai,Oxoruyai
Oxoruy-udu,Oxoruyai udu,Oxoruyai
Oxoruy-oau,Oxoruyai oau,Oxoruyai
Oxoruy-oaux,Oxoruyai oaux,Oxoruyai
Oxoruy-eeeg,Oxoruyai eeegee,Oxoruyai
Oxoruy-coo,Oxoruyai coo,Oxoruyai
Oxoruy-ueit,Oxoruyai ueitu,Oxoruyai
Oxoruy-iaa,Oxoruyai iaa,Oxoruyai
Meceif,Meceif,Meceif
Meceif-ueuu,Meceif ueuu,Meceif
Meceif-ouoc,Meceif ouoc,Meceif
Aouuel-enae,Aouuel enae,Aouuel
Aouuel-oee,Aouuel oee,Aouuel
Yucaab-oiza,Yucaabe oizao,Yucaabe
Ocepia-ouo,Ocepiaauho ouo,Ocepiaauho
Eogoib-udu,Eogoib udu,Eogoib
Eogoib-ebu,Eogoib ebu,Eogoib
Eougix-eau,Eougixeole eau,Eougixeole
Oakoai-jeou,Oakoaii jeou,Oakoaii
Oakoai-oie,Oakoaii oie,Oakoaii
Oakoai-eah,Oakoaii eah,Oakoaii
Aceiue-itii,Aceiueaiva itiii,Aceiueaiva
